course_id,course_name,academy,template_correct,overview_clear,prerequisites_clear,outcomes_clear,curriculum_complete,hands_on_clear,tools_consistent,industry_workflow,business_use_cases,projects_clear,capstone_correct,career_clear,faq_complete,next_path_valid,seo_valid,schema_valid,mobile_valid,accessibility_valid,performance_valid,qa_status,issues_fixed,remaining_issues
"young-coders","Young Coders Program","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"scratch-programming","Scratch Programming","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"python-for-kids","Python for Kids","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-for-kids","AI for Kids","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"robotics-basics","Robotics Basics","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"web-design-for-kids","Web Design for Kids","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"youtube-mastery","YouTube Growth Mastery","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"content-creator-pro","Content Creator Professional","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"youtube-seo","YouTube SEO","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"thumbnail-design","Thumbnail Design","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"podcast-production","Podcast Production","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"personal-branding","Personal Branding","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"short-video-strategy","Short Video Strategy","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"biz-productivity","Business Productivity Mastery","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"office-pro","Office Productivity Professional","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"microsoft-excel","Microsoft Excel","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"microsoft-word","Microsoft Word","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"microsoft-powerpoint","Microsoft PowerPoint","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"google-workspace","Google Workspace","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"notion-cert","Notion","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"clickup-cert","ClickUp","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"microsoft-copilot","Microsoft Copilot","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"tally-gst","Tally with GST","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
