course_id,course_name,academy,course_type,level,duration,module_count,lesson_count,tool_count,assignment_count,project_count,capstone,ai_integration,industry_workflow,business_use_cases,career_paths,freelance_path,content_depth,future_review_status
"scratch-programming","Scratch Programming","Kids Tech Academy","MICRO","BEGINNER","1 Month",3,9,7,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Young Game Designer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"python-for-kids","Python for Kids","Kids Tech Academy","SPECIALIZATION","BEGINNER+","1-2 Months",4,12,7,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Junior Python Programmer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"ai-for-kids","AI for Kids","Kids Tech Academy","SPECIALIZATION","BEGINNER+","1 Month",4,12,7,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Young AI Explorer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"robotics-basics","Robotics Basics","Kids Tech Academy","MICRO","BEGINNER+","1 Month",3,9,7,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Robotics Club Member -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"web-design-for-kids","Web Design for Kids","Kids Tech Academy","MODULE","BEGINNER","2-3 Weeks",2,6,7,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Junior Web Designer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"youtube-mastery","YouTube Growth Mastery","Creator Academy","MASTER","BEGINNER","4-6 Months",6,24,9,6,3,"Mandatory Enterprise Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Full-Time YouTuber ->  Creator-Entrepreneur","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","FAST-CHANGING"
"content-creator-pro","Content Creator Professional","Creator Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,9,4,2,"Recommended Domain Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Digital Content Creator ->  Social Media Videographer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","FAST-CHANGING"
"youtube-seo","YouTube SEO","Creator Academy","SPECIALIZATION","BEGINNER+","1 Month",4,12,9,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","YouTube Channel Manager ->  Video SEO Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"thumbnail-design","Thumbnail Design","Creator Academy","MODULE","BEGINNER","2 Weeks",2,6,9,2,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Thumbnail Designer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"podcast-production","Podcast Production","Creator Academy","MICRO","BEGINNER","1 Month",3,9,9,3,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Podcast Producer ->  Audio Editor","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"personal-branding","Personal Branding","Creator Academy","REPOSITION","BEGINNER","1 Month",3,9,9,3,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Personal Brand Strategist ->  Thought Leader","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"short-video-strategy","Short Video Strategy","Creator Academy","SPECIALIZATION","BEGINNER","1 Month",4,12,9,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Short-Form Content Strategist ->  Viral Growth Consultant","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"biz-productivity","Business Productivity Mastery","Office Productivity Academy","MASTER","BEGINNER+","4-6 Months",6,24,9,6,3,"Mandatory Enterprise Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Business Operations Manager ->  Executive MIS Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","STABLE"
"office-pro","Office Productivity Professional","Office Productivity Academy","PROFESSIONAL","BEGINNER","2-3 Months",4,16,9,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Office Administrator ->  Executive Assistant","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","STABLE"
"microsoft-excel","Microsoft Excel","Office Productivity Academy","REPOSITION","BEGINNER","1-2 Months",3,9,9,3,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","MIS Executive ->  Data Analyst","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"microsoft-word","Microsoft Word","Office Productivity Academy","RETIRE","BEGINNER","1-2 Weeks",1,1,9,1,2,"Practical Production Artifact","HIGH COMMODITIZATION RISK","10 Stages","2 Core Sectors","Word Processor -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"microsoft-powerpoint","Microsoft PowerPoint","Office Productivity Academy","RETIRE","BEGINNER","1-2 Weeks",1,1,9,1,2,"Practical Production Artifact","HIGH COMMODITIZATION RISK","10 Stages","2 Core Sectors","Slide Formatter -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"google-workspace","Google Workspace","Office Productivity Academy","MICRO","BEGINNER","2-3 Weeks",3,9,9,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Cloud Office Associate -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"notion-cert","Notion","Office Productivity Academy","SPECIALIZATION","BEGINNER","1 Month",4,12,9,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Certified Notion Consultant ->  Workspace Architect","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"clickup-cert","ClickUp","Office Productivity Academy","MICRO","BEGINNER","2-3 Weeks",3,9,9,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Project Management Associate ->  Agile Coordinator","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"microsoft-copilot","Microsoft Copilot","Office Productivity Academy","SPECIALIZATION","BEGINNER+","1 Month",4,12,9,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Enterprise AI Productivity Specialist -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"tally-gst","Tally with GST","Office Productivity Academy","REPOSITION","BEGINNER","2 Months",3,9,9,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Accountant ->  GST Compliance Executive","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
