course_number,course_id,course_name,academy,current_type,recommended_type,course_role,parent_program,entry_level,prerequisites,recommended_next_course,learning_path,career_endpoint,primary_career_roles,secondary_career_roles,recommended_depth,recommended_duration_range,project_depth,overlap_risk,overlap_with,value_as_standalone,recommended_action,dependency_notes,architecture_notes
62,"3d-viz-pro","3D Visualisation Professional","3D Academy","Professional Program","PROFESSIONAL","Professional Skill","archviz-mastery","BEGINNER","None","unreal-engine-basics","3D Design & Architectural Visualization Path","JOB / FREELANCE","3D Artist, Architectural Modeler","Interior Visualizer","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","3ds-max-cert, archviz-mastery","CLEAR","MODERNIZE","Modeling, lighting, realistic texturing for architectural spaces.","Core 3-month visualization standalone."
63,"blender-cert","Blender","3D Academy","Certification Course","MICRO","Core Skill","3d-viz-pro","BEGINNER","None","unreal-engine-basics","3D Design & Architectural Visualization Path","JOB / FREELANCE","Blender Generalist, 3D Modeler","Indie Game Artist","SHORT","1-2 Months","PRACTICAL","LOW","None","CLEAR","KEEP","Open-source 3D suite, Cycles X, Geometry Nodes, asset creation.","Very popular open-source 3D tool certification."
64,"3ds-max-cert","3ds Max","3D Academy","Certification Course","MICRO","Core Skill","3d-viz-pro","BEGINNER","None","v-ray-cert","3D Design & Architectural Visualization Path","JOB","3ds Max Modeler, ArchViz Specialist","CAD Drafter","SHORT","1-2 Months","PRACTICAL","MEDIUM","3d-viz-pro","CLEAR","KEEP","Industry standard polygon modeling for architecture & interiors.","Standard architectural modeling tool certification."
65,"v-ray-cert","V-Ray","3D Academy","Certification Course","SPECIALIZATION","Specialization","3ds-max-cert","INTERMEDIATE","3ds-max-cert","twinmotion-cert","3D Design & Architectural Visualization Path","SPECIALIST","Lighting & Rendering Artist","ArchViz Specialist","SHORT","1 Month","PORTFOLIO","MEDIUM","archviz-mastery","CLEAR","SPECIALIZATION","Photorealistic lighting, shaders, displacement, render passes.","High-fidelity rendering specialization."
66,"twinmotion-cert","Twinmotion","3D Academy","Certification Course","SPECIALIZATION","Specialization","archviz-mastery","BEGINNER+","3ds-max-cert OR blender-cert","unreal-engine-basics","3D Design & Architectural Visualization Path","SPECIALIST","Real-Time Visualization Artist","Architectural Animator","SHORT","1 Month","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Fast real-time architectural walkthroughs and animated seasons.","Accessible bridge to real-time engine rendering."
67,"cinema-4d-cert","Cinema 4D","3D Academy","Certification Course","REPOSITION","Specialization","motion-mastery","BEGINNER+","after-effects","motion-mastery","3D Design & Architectural Visualization Path","SPECIALIST","3D Motion Designer, Broadcast Designer","Product Animator","SHORT","1-2 Months","PORTFOLIO","MEDIUM","video academy motion graphics","CLEAR","REPOSITION","Reposition from 3D architectural rendering to 3D Motion Graphics & Product Animation in connection with Video Academy.","Move to Video & Motion path as a high-end 3D motion tool."
68,"unreal-engine-basics","Unreal Engine Basics","3D Academy","Certification Course","SPECIALIZATION","Advanced Skill","archviz-mastery","INTERMEDIATE","3ds-max-cert OR blender-cert","archviz-mastery","3D Design & Architectural Visualization Path","SPECIALIST","Unreal Engine ArchViz Specialist, Real-Time Environment Artist","Virtual Production Assistant","ADVANCED SPECIALIZATION","1-2 Months","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Lumen real-time GI, Nanite virtual geometry, interactive blueprints.","Leading edge 2026 specialization in 3D architecture."
69,"freelancing-mastery","Freelancing Mastery","Career & Freelancing Academy","Career Program","MASTER","Career/Monetization","","INTERMEDIATE","Any hard professional skill (Marketing, Coding, Design, Video)","agency-building","Career Launch & Global Freelancing Path","FREELANCE / AGENCY","Independent Global Consultant, High-Ticket Freelancer","Micro-Agency Founder","MASTER","4-6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes Upwork, Fiverr, proposals, pricing","CLEAR","MODERNIZE","Cross-academy monetization engine for all professional graduates.","Universal career acceleration flagship."
70,"career-launch","Career Launch Program","Career & Freelancing Academy","Professional Program","PROFESSIONAL","Career/Monetization","freelancing-mastery","BEGINNER","None","interview-preparation","Career Launch & Global Freelancing Path","JOB","Job-Ready Graduate","Corporate Associate","PROFESSIONAL","2-3 Months","PORTFOLIO","HIGH","resume-building, interview-preparation, linkedin","CLEAR","MODERNIZE","Comprehensive employment preparation for corporate job seekers.","3-month employment readiness standalone."
71,"resume-building","Resume Building","Career & Freelancing Academy","Certification Course","MODULE","Supporting Skill","career-launch","BEGINNER","None","interview-preparation","Career Launch & Global Freelancing Path","JOB","Job Applicant","None","MICRO","1 Week","EXERCISE","HIGH","career-launch","WEAK","MODULE","ATS optimization, action verb bullet points, single-page format.","Embed as mandatory outcome module in all career programs."
72,"linkedin-optimisation","LinkedIn Optimisation","Career & Freelancing Academy","Certification Course","MICRO","Supporting Skill","career-launch","BEGINNER","None","interview-preparation","Career Launch & Global Freelancing Path","JOB / FREELANCE","LinkedIn Lead Creator","Professional Job Seeker","MICRO","2-3 Weeks","PRACTICAL","LOW","creator personal branding","CLEAR","KEEP","Headline hooks, featured proof of work, inbound recruiters, creator mode.","Universal personal branding asset across all students."
73,"interview-preparation","Interview Preparation","Career & Freelancing Academy","Certification Course","MODULE","Supporting Skill","career-launch","BEGINNER+","resume-building","career-launch","Career Launch & Global Freelancing Path","JOB","Job Applicant","None","MICRO","1-2 Weeks","PRACTICAL","HIGH","career-launch, communication soft-skills","WEAK","MODULE","STAR method, mock technical interviews, salary negotiation.","Embed as mandatory capstone module in all career programs."
74,"client-communication","Client Communication","Career & Freelancing Academy","Certification Course","MODULE","Supporting Skill","freelancing-mastery","BEGINNER","None","freelancing-mastery","Career Launch & Global Freelancing Path","FREELANCE","Client Handler","None","MICRO","1-2 Weeks","EXERCISE","HIGH","business-communication, freelancing-mastery","WEAK","MODULE","Scope creep defense, revisions etiquette, async messaging.","Embed inside Freelancing and Communication academies."
75,"proposal-writing","Proposal Writing","Career & Freelancing Academy","Certification Course","MODULE","Supporting Skill","freelancing-mastery","BEGINNER+","None","upwork-success","Career Launch & Global Freelancing Path","FREELANCE","Freelance Bidder","None","MICRO","1-2 Weeks","EXERCISE","HIGH","freelancing-mastery, upwork-success","WEAK","MODULE","Custom proposal architecture, AI drafting, Loom video pitches.","Embed as core module inside Freelancing Mastery."
76,"agency-building","Agency Building","Career & Freelancing Academy","Certification Course","SPECIALIZATION","Career/Monetization","freelancing-mastery","ADVANCED","freelancing-mastery OR steady client revenue","None","Career Launch & Global Freelancing Path","AGENCY / BUSINESS","Agency Founder, Managing Director","Consulting Firm Principal","ADVANCED SPECIALIZATION","2 Months","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Hiring, contractor delegation, standard operating procedures (SOPs), retainers.","High-ticket entrepreneurial specialization."
77,"fiverr-success","Fiverr Success","Career & Freelancing Academy","Certification Course","MICRO","Core Skill","freelancing-mastery","BEGINNER","Basic gig deliverable (Graphic/Video/Logo)","upwork-success","Career Launch & Global Freelancing Path","FREELANCE","Fiverr Level 2 / Pro Seller","Gig Creator","MICRO","3-4 Weeks","PRACTICAL","MEDIUM","freelancing-mastery","CLEAR","KEEP","Gig packaging, keyword SEO on Fiverr, instant delivery upsells.","Good entry-level monetization course."
78,"upwork-success","Upwork Success","Career & Freelancing Academy","Certification Course","MICRO","Core Skill","freelancing-mastery","BEGINNER+","Any demonstrable portfolio skill","agency-building","Career Launch & Global Freelancing Path","FREELANCE","Top-Rated Upwork Freelancer","Remote Contractor","SHORT","1 Month","PRACTICAL","MEDIUM","freelancing-mastery","CLEAR","KEEP","Connects economy, profile optimization, video pitches, proposal bidding.","High student demand tactical micro-course."
79,"business-english","Business English & Personality Development","Communication Academy","Career Program","MASTER","Career/Monetization","","BEGINNER","Basic conversational English","public-speaking","Executive Communication & Leadership Path","JOB / CORPORATE","Corporate Executive, Global Business Professional","Client Manager","MASTER","4-6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes spoken english, soft skills, presentation","CLEAR","MODERNIZE","Flagship corporate language and personality transformation.","Upgrade to Global Corporate Influence & Executive Storytelling."
80,"spoken-english-pro","Professional Spoken English","Communication Academy","Professional Program","PROFESSIONAL","Professional Skill","business-english","BEGINNER","None","business-communication","Executive Communication & Leadership Path","JOB","Fluent Corporate Communicator","Customer Representative","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","spoken-english-cert, business-english","CLEAR","MODERNIZE","Pronunciation, spontaneous conversation, professional phone etiquette.","Core 3-month spoken fluency track."
81,"spoken-english-cert","Spoken English","Communication Academy","Certification Course","MERGE","Foundation","spoken-english-pro","BEGINNER","None","spoken-english-pro","Executive Communication & Leadership Path","FOUNDATIONAL","Basic Speaker","None","MICRO","1 Month","EXERCISE","HIGH","spoken-english-pro","WEAK","MERGE LATER","Confusing duplication with spoken-english-pro.","Consolidate into Spoken English Professional."
82,"business-communication","Business Communication","Communication Academy","Certification Course","MICRO","Core Skill","business-english","BEGINNER+","spoken-english-pro","presentation-skills","Executive Communication & Leadership Path","JOB / CORPORATE","Corporate Professional, Project Manager","Client Associate","SHORT","1 Month","PRACTICAL","MEDIUM","business-english","CLEAR","KEEP","Executive memos, cross-cultural diplomacy, async messaging.","High utility corporate writing & correspondence course."
83,"presentation-skills","Presentation Skills","Communication Academy","Certification Course","MICRO","Core Skill","business-english","BEGINNER+","None","public-speaking","Executive Communication & Leadership Path","JOB / CORPORATE","Sales Presenter, Team Lead, Product Pitcher","Consultant","SHORT","1 Month","PRACTICAL","MEDIUM","public-speaking","CLEAR","KEEP","Slide structure, pitch storytelling, body language, Q&A mastery.","Absorb retired PowerPoint into this practical course."
84,"public-speaking","Public Speaking","Communication Academy","Certification Course","SPECIALIZATION","Advanced Skill","business-english","INTERMEDIATE","presentation-skills","None","Executive Communication & Leadership Path","SPECIALIST","Keynote Speaker, Conference Presenter, Executive Spokesperson","Corporate Trainer","SHORT","1 Month","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Stage presence, vocal modulation, persuasive rhetoric, storytelling.","High prestige executive speaking specialization."
85,"soft-skills","Soft Skills","Communication Academy","Certification Course","MODULE","Supporting Skill","business-english","BEGINNER","None","business-communication","Executive Communication & Leadership Path","FOUNDATIONAL","Professional Associate","None","MICRO","2-3 Weeks","EXERCISE","HIGH","business-communication","WEAK","MODULE","Vague title. Best delivered as modular workshops across all programs.","Convert to universal career readiness module."
86,"kids-mastery","Future Tech Kids Mastery","Kids Tech Academy","Career Program","MASTER","Career/Monetization","","BEGINNER","Age 8-16, curiosity","None","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Young STEAM Innovator, Future Engineer","Indie Game Creator","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes scratch, python, AI for kids","CLEAR","MODERNIZE","Complete progressive track from visual blocks to text coding & AI.","Flagship STEAM program for youth."
87,"young-coders","Young Coders Program","Kids Tech Academy","Professional Program","PROFESSIONAL","Professional Skill","kids-mastery","BEGINNER","Age 8-14","python-for-kids","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Junior Coder","Game Creator","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","scratch-programming, python-for-kids","CLEAR","MODERNIZE","Block coding to Python transition program.","Core 3-month coding program for kids."
88,"scratch-programming","Scratch Programming","Kids Tech Academy","Certification Course","MICRO","Foundation","young-coders","BEGINNER","Age 7-12","python-for-kids","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Young Game Designer","None","SHORT","1 Month","PRACTICAL","MEDIUM","young-coders","CLEAR","KEEP","MIT Scratch visual blocks, game logic, animations.","Excellent entry door for young beginners."
89,"python-for-kids","Python for Kids","Kids Tech Academy","Certification Course","SPECIALIZATION","Core Skill","kids-mastery","BEGINNER+","scratch-programming OR age 11+","ai-for-kids","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Junior Python Programmer","Robotics Aspirant","SHORT","1-2 Months","PRACTICAL","LOW","None","CLEAR","SPECIALIZATION","Turtle graphics, text adventures, math puzzle solving.","First real text-based programming language for kids."
90,"ai-for-kids","AI for Kids","Kids Tech Academy","Certification Course","SPECIALIZATION","Specialization","kids-mastery","BEGINNER+","scratch-programming OR age 10+","python-for-kids","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Young AI Explorer","None","SHORT","1 Month","PRACTICAL","LOW","None","CLEAR","SPECIALIZATION","Teachable Machine, computer vision demos, AI safety & ethics.","Cutting-edge modern educational offering for schools."
91,"robotics-basics","Robotics Basics","Kids Tech Academy","Certification Course","MICRO","Specialization","kids-mastery","BEGINNER+","Age 9-15","python-for-kids","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Robotics Club Member","Hardware Hacker","SHORT","1 Month","PRACTICAL","LOW","None","CLEAR","KEEP","Tinkercad circuit simulation, micro:bit, sensory inputs.","Valuable physical computing track."
92,"web-design-for-kids","Web Design for Kids","Kids Tech Academy","Certification Course","MODULE","Supporting Skill","young-coders","BEGINNER","Age 10+","python-for-kids","Young Innovators & Kids Tech Path","ACADEMIC / FOUNDATIONAL","Junior Web Designer","None","MICRO","2-3 Weeks","EXERCISE","HIGH","programming html-css","WEAK","MODULE","Basic HTML formatting for youth. Embed inside Young Coders.","Convert to module in Young Coders."
93,"youtube-mastery","YouTube Growth Mastery","Creator Academy","Career Program","MASTER","Career/Monetization","","BEGINNER","Interest in video creation and digital media","agency-building","Digital Creator & Media Entrepreneurship Path","CREATOR / BUSINESS","Full-Time YouTuber, Creator-Entrepreneur, Media Channel Lead","Corporate Video Producer","MASTER","4-6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes youtube-seo, thumbnail, podcast, branding","CLEAR","MODERNIZE","End-to-end channel launch, retention storytelling, monetization.","Flagship digital creator business track."
94,"content-creator-pro","Content Creator Professional","Creator Academy","Professional Program","PROFESSIONAL","Professional Skill","youtube-mastery","BEGINNER","None","short-video-strategy","Digital Creator & Media Entrepreneurship Path","CREATOR / FREELANCE","Digital Content Creator, Social Media Videographer","Brand Ambassador","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","youtube-mastery, video academy","CLEAR","MODERNIZE","Multi-platform creation (YouTube, Instagram, LinkedIn, podcasts).","Core 3-month multi-platform creator program."
95,"youtube-seo","YouTube SEO","Creator Academy","Certification Course","SPECIALIZATION","Specialization","youtube-mastery","BEGINNER+","None","youtube-mastery","Digital Creator & Media Entrepreneurship Path","JOB / SPECIALIST","YouTube Channel Manager, Video SEO Specialist","Growth Consultant","SHORT","1 Month","PRACTICAL","HIGH","digital-marketing youtube-marketing","CLEAR","SPECIALIZATION","Packaging, title hooks, search optimization, recommendation algorithms.","Consolidate YouTube search across the platform here."
96,"thumbnail-design","Thumbnail Design","Creator Academy","Certification Course","MODULE","Supporting Skill","youtube-mastery","BEGINNER","Basic Photoshop or Canva","youtube-seo","Digital Creator & Media Entrepreneurship Path","FREELANCE","Thumbnail Designer","None","MICRO","2 Weeks","EXERCISE","HIGH","design canva-pro/photoshop, youtube-mastery","WEAK","MODULE","Visual CTR psychology, facial expression cutouts, bold text.","Embed as high-impact module in YouTube Mastery."
97,"podcast-production","Podcast Production","Creator Academy","Certification Course","MICRO","Specialization","youtube-mastery","BEGINNER","None","content-creator-pro","Digital Creator & Media Entrepreneurship Path","FREELANCE / CREATOR","Podcast Producer, Audio Editor","Studio Technician","SHORT","1 Month","PRACTICAL","LOW","None","CLEAR","KEEP","Riverside.fm, Audition, multi-track audio, video podcast editing.","Distinct growing niche for corporate and indie podcasts."
98,"personal-branding","Personal Branding","Creator Academy","Certification Course","REPOSITION","Core Skill","career-launch","BEGINNER","None","freelancing-mastery","Digital Creator & Media Entrepreneurship Path","BUSINESS / FREELANCE","Personal Brand Strategist, Thought Leader","Executive Creator","SHORT","1 Month","PORTFOLIO","MEDIUM","linkedin-optimisation","CLEAR","REPOSITION","Reposition from generic social sharing to Executive Authority & Personal Branding for Founders/Consultants.","Reposition for high-ticket professional consultants."
99,"short-video-strategy","Short Video Strategy","Creator Academy","Certification Course","SPECIALIZATION","Core Skill","content-creator-pro","BEGINNER","reels-editing OR basic smartphone shooting","youtube-mastery","Digital Creator & Media Entrepreneurship Path","CREATOR / FREELANCE","Short-Form Content Strategist, Viral Growth Consultant","Brand Content Lead","SHORT","1 Month","PORTFOLIO","MEDIUM","video reels-editing","CLEAR","SPECIALIZATION","Script hooks, 3-second retention, viral distribution algorithms.","Strategic marketing course paired with technical reels editing."
100,"biz-productivity","Business Productivity Mastery","Office Productivity Academy","Career Program","MASTER","Career/Monetization","","BEGINNER+","Basic office computer skills","None","Enterprise Analytics & Digital Workplace Path","JOB / BUSINESS","Business Operations Manager, Executive MIS Lead","Operations Consultant","MASTER","4-6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes Excel, Power BI, Notion, Copilot","CLEAR","MODERNIZE","Flagship modern corporate productivity and analytics track.","Upgrade to Business Analytics, Power BI & Microsoft 365 Copilot."
101,"office-pro","Office Productivity Professional","Office Productivity Academy","Professional Program","PROFESSIONAL","Professional Skill","biz-productivity","BEGINNER","None","microsoft-excel","Enterprise Analytics & Digital Workplace Path","JOB","Office Administrator, Executive Assistant","Operations Coordinator","PROFESSIONAL","2-3 Months","PORTFOLIO","HIGH","standalone office courses","CLEAR","MODERNIZE","Integrated modern office suites and AI assistants.","3-month digital workplace professional program."
102,"microsoft-excel","Microsoft Excel","Office Productivity Academy","Certification Course","REPOSITION","Core Skill","biz-productivity","BEGINNER","None","biz-productivity","Enterprise Analytics & Digital Workplace Path","JOB / SPECIALIST","MIS Executive, Data Analyst, Financial Analyst","Business Operations Associate","SHORT","1-2 Months","PORTFOLIO","MEDIUM","biz-productivity","CLEAR","REPOSITION","Reposition from basic spreadsheet entry to Advanced Financial Modeling, Power Query Automation & Copilot Analytics.","High-value data modeling course."
103,"microsoft-word","Microsoft Word","Office Productivity Academy","Certification Course","RETIRE","Supporting Skill","office-pro","BEGINNER","None","microsoft-copilot","Enterprise Analytics & Digital Workplace Path","FOUNDATIONAL","Word Processor","None","MICRO","1-2 Weeks","EXERCISE","HIGH","office-pro, biz-productivity","NONE","RETIRE LATER","Zero standalone market value as a separate paid certification in 2026/27.","Retire as standalone paid course; embed into Office Productivity."
104,"microsoft-powerpoint","Microsoft PowerPoint","Office Productivity Academy","Certification Course","RETIRE","Supporting Skill","presentation-skills","BEGINNER","None","presentation-skills","Enterprise Analytics & Digital Workplace Path","FOUNDATIONAL","Slide Formatter","None","MICRO","1-2 Weeks","EXERCISE","HIGH","presentation-skills, office-pro","NONE","RETIRE LATER","Zero standalone market value as a separate paid certification in 2026/27.","Retire as standalone course; merge with Presentation Skills & Pitching."
105,"google-workspace","Google Workspace","Office Productivity Academy","Certification Course","MICRO","Supporting Skill","office-pro","BEGINNER","None","microsoft-excel","Enterprise Analytics & Digital Workplace Path","JOB","Cloud Office Associate","Executive Assistant","MICRO","2-3 Weeks","EXERCISE","LOW","None","CLEAR","KEEP","Google Sheets, Docs, Drive security, Apps Script basics.","Helpful foundation for modern cloud companies."
106,"notion-cert","Notion","Office Productivity Academy","Certification Course","SPECIALIZATION","Specialization","biz-productivity","BEGINNER","None","clickup-cert","Enterprise Analytics & Digital Workplace Path","FREELANCE / CONSULTING","Certified Notion Consultant, Workspace Architect","Chief of Staff Assistant","SHORT","1 Month","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Relational databases, formulas 2.0, Notion AI, client portals.","High-earning freelance niche for startup operations."
107,"clickup-cert","ClickUp","Office Productivity Academy","Certification Course","MICRO","Supporting Skill","biz-productivity","BEGINNER","None","notion-cert","Enterprise Analytics & Digital Workplace Path","JOB / SUPPORTING","Project Management Associate, Agile Coordinator","Operations Associate","MICRO","2-3 Weeks","PRACTICAL","LOW","None","PARTIAL","KEEP","Sprints, task automations, Gantt charts, team dashboards.","Good corporate project management tool."
108,"microsoft-copilot","Microsoft Copilot","Office Productivity Academy","Certification Course","SPECIALIZATION","Specialization","biz-productivity","BEGINNER+","Basic Excel/Word proficiency","biz-productivity","Enterprise Analytics & Digital Workplace Path","JOB / CORPORATE","Enterprise AI Productivity Specialist","Operations Analyst","SHORT","1 Month","PRACTICAL","LOW","None","CLEAR","SPECIALIZATION","Microsoft 365 Copilot in Excel, Word, Teams, PowerPoint, Loop.","Surging 2026/27 corporate B2B training demand."
109,"tally-gst","Tally with GST","Office Productivity Academy","Certification Course","REPOSITION","Specialization","","BEGINNER","Basic accounting knowledge","microsoft-excel","Enterprise Analytics & Digital Workplace Path","JOB / SME","Accountant, GST Compliance Executive","Billing Executive","SHORT","2 Months","PRACTICAL","LOW","None","CLEAR","REPOSITION","Reposition to TallyPrime with Automated GST Filing & Digital Auditing.","Essential for Indian SME accounting; modernize with digital GST portal."
