course_id,course_name,academy,market_relevance,industry_demand,job_relevance,freelance_relevance,business_relevance,ai_impact,core_tools,supporting_tools,emerging_tools,tools_to_review,stable_skills,evolving_skills,fast_changing_skills,business_use_cases,job_roles,portfolio_expectations,keep_topics,update_topics,add_topics,remove_or_review_topics,topics_to_deepen,preliminary_course_depth,future_durability,modernization_priority,research_notes,source_references
"ai-web-dev-pro","AI Web Development Professional","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","AI Web Development Professional, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"html-css","HTML & CSS","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","HTML & CSS, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"javascript-cert","JavaScript","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","JavaScript, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"react-cert","React","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","React, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"node-js","Node.js","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Node.js, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"sql-basics","SQL Basics","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","SQL Basics, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"git-github","Git & GitHub","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Git & GitHub, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"rest-apis","REST APIs","Programming Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","REST APIs, Git & GitHub, VS Code","Postman, Docker","Cursor, Supabase","Outdated legacy libraries","Core syntax, OOP/functional paradigms, debugging.","Modern language features (ES2024+, Python 3.12+).","Framework ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 focused, robust applications with automated unit tests and published open-source GitHub repositories.","Language fundamentals, standard libraries, error handling.","Incorporate modern asynchronous patterns and typing standards.","AI-assisted code optimization, automated testing suites, containerization.","Isolated standalone syntax drills with no practical application.","Real-world API integration and clean code architecture.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","GitHub Copilot & Actions Documentation (2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"ecommerce-mastery","E-Commerce Website Mastery","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MASTER / FLAGSHIP","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"nocode-web-pro","No-Code Website Professional","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","PROFESSIONAL","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"wordpress-cert","WordPress","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"woocommerce-cert","WooCommerce","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"shopify-cert","Shopify","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"elementor-cert","Elementor","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"webflow-cert","Webflow","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"framer-cert","Framer","No-Code Web Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Webflow, Framer, Shopify, WordPress, Make.com","Figma, Airtable, Stripe, Google Tag Manager","Relume AI, v0.dev, Cursor for Custom CSS/JS, Supabase No-Code Connectors","Heavy bloated WordPress plugins, cPanel manual database installs, Non-responsive legacy page builders","Information architecture, box model, web layout logic, conversion optimization.","CMS relationships, animations and micro-interactions, responsive breakpoints.","AI site generators, automated translation/localization modules.","Fast startup landing pages, D2C multi-currency online stores, corporate marketing websites, event portals, client lead-generation hubs.","Entry: No-Code Web Developer, Shopify Store Assistant, Webflow Designer | Mid: Lead Webflow/Framer Developer, E-Commerce Specialist, No-Code Agency Consultant | Adv: Digital Product Builder, Head of Web Operations | Freelance: Freelance Webflow Developer (high global hourly rates), Shopify Consultant","3 complete published responsive web applications (1 high-converting Framer startup landing page, 1 fully functional multi-product Shopify store, 1 dynamic CMS Webflow site).","Box model principles, e-commerce catalog structure, checkout flows.","Shift focus from legacy WordPress drag-and-drop to modern Framer, Webflow, and modern Shopify Checkout Extensibility.","AI site generators (Relume AI), custom domain SEO schema, automated Zapier/Make webhooks.","Teaching heavy plugin-stack WordPress sites that score <50 on Google PageSpeed.","Responsive web design standards, CMS database relational modeling, and client CMS handoff training.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Webflow University & Framer Design-to-Publish Documentation (2026); Shopify Editions & Hydrogen Headless Architecture Docs (2026); WordPress.org Core & Gutenberg Full Site Editing Handbook (2026)"
"motion-mastery","Motion Graphics Master","Video & Motion Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Adobe Premiere Pro, DaVinci Resolve Studio, Adobe After Effects, CapCut Desktop","Audition, Photoshop, Canva, Envato","Runway Gen-3, Pika Labs, ElevenLabs Voice AI, Luma Dream Machine, Topaz Video AI","Legacy offline firewire capture workflows, Outdated DVD/CD export presets, Slow manual rotoscoping","Storytelling, pacing, eye-trace, sound design, emotional narrative, color theory.","Motion graphics templates (MOGRTs), DaVinci color grading, multi-cam editing.","Generative AI B-roll generation, automated voice dubbing, AI speech clean-up.","High-converting vertical video ads (Instagram/YouTube Shorts), corporate brand films, YouTube longform documentary editing, SaaS product promo videos.","Entry: Video Editor Assistant, Reels Editor, Junior Motion Designer | Mid: Senior Video Editor, Motion Graphics Artist, Commercial Post-Production Lead | Adv: Post-Production Supervisor, Creative Video Director | Freelance: Freelance Video Editor, Remote YouTube Post-Production Specialist","Showreel featuring: 1 fast-paced viral 9:16 short-form ad, 1 dynamic 2D/3D motion graphics brand explainer, and 1 professionally color-graded and sound-mixed documentary or commercial piece.","Timeline editing fundamentals, keyframing, audio leveling, color scopes.","Incorporate DaVinci Resolve Neural Engine (Magic Mask, Voice Isolation) and Premiere Pro Generative Extend.","AI b-roll generation (Runway/Luma), ElevenLabs automated voiceover integration, multi-platform vertical video optimization.","Teaching isolated manual rotoscoping frame-by-frame without AI assist; legacy broadcast standards.","Sound design layering, dynamic typography animation, and client revision workflows.","MASTER / FLAGSHIP","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Blackmagic Design DaVinci Resolve Studio 19/20 Reference Manual (2026); Adobe Creative Cloud Developer & Firefly Gen-3 Documentation (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"video-pro","Professional Video Editing","Video & Motion Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Adobe Premiere Pro, DaVinci Resolve Studio, Adobe After Effects, CapCut Desktop","Audition, Photoshop, Canva, Envato","Runway Gen-3, Pika Labs, ElevenLabs Voice AI, Luma Dream Machine, Topaz Video AI","Legacy offline firewire capture workflows, Outdated DVD/CD export presets, Slow manual rotoscoping","Storytelling, pacing, eye-trace, sound design, emotional narrative, color theory.","Motion graphics templates (MOGRTs), DaVinci color grading, multi-cam editing.","Generative AI B-roll generation, automated voice dubbing, AI speech clean-up.","High-converting vertical video ads (Instagram/YouTube Shorts), corporate brand films, YouTube longform documentary editing, SaaS product promo videos.","Entry: Video Editor Assistant, Reels Editor, Junior Motion Designer | Mid: Senior Video Editor, Motion Graphics Artist, Commercial Post-Production Lead | Adv: Post-Production Supervisor, Creative Video Director | Freelance: Freelance Video Editor, Remote YouTube Post-Production Specialist","Showreel featuring: 1 fast-paced viral 9:16 short-form ad, 1 dynamic 2D/3D motion graphics brand explainer, and 1 professionally color-graded and sound-mixed documentary or commercial piece.","Timeline editing fundamentals, keyframing, audio leveling, color scopes.","Incorporate DaVinci Resolve Neural Engine (Magic Mask, Voice Isolation) and Premiere Pro Generative Extend.","AI b-roll generation (Runway/Luma), ElevenLabs automated voiceover integration, multi-platform vertical video optimization.","Teaching isolated manual rotoscoping frame-by-frame without AI assist; legacy broadcast standards.","Sound design layering, dynamic typography animation, and client revision workflows.","PROFESSIONAL","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Blackmagic Design DaVinci Resolve Studio 19/20 Reference Manual (2026); Adobe Creative Cloud Developer & Firefly Gen-3 Documentation (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"ai-video-pro","AI Video Editing Professional","Video & Motion Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-TRANSFORMING","Adobe Premiere Pro, DaVinci Resolve Studio, Adobe After Effects, CapCut Desktop","Audition, Photoshop, Canva, Envato","Runway Gen-3, Pika Labs, ElevenLabs Voice AI, Luma Dream Machine, Topaz Video AI","Legacy offline firewire capture workflows, Outdated DVD/CD export presets, Slow manual rotoscoping","Storytelling, pacing, eye-trace, sound design, emotional narrative, color theory.","Motion graphics templates (MOGRTs), DaVinci color grading, multi-cam editing.","Generative AI B-roll generation, automated voice dubbing, AI speech clean-up.","High-converting vertical video ads (Instagram/YouTube Shorts), corporate brand films, YouTube longform documentary editing, SaaS product promo videos.","Entry: Video Editor Assistant, Reels Editor, Junior Motion Designer | Mid: Senior Video Editor, Motion Graphics Artist, Commercial Post-Production Lead | Adv: Post-Production Supervisor, Creative Video Director | Freelance: Freelance Video Editor, Remote YouTube Post-Production Specialist","Showreel featuring: 1 fast-paced viral 9:16 short-form ad, 1 dynamic 2D/3D motion graphics brand explainer, and 1 professionally color-graded and sound-mixed documentary or commercial piece.","Timeline editing fundamentals, keyframing, audio leveling, color scopes.","Incorporate DaVinci Resolve Neural Engine (Magic Mask, Voice Isolation) and Premiere Pro Generative Extend.","AI b-roll generation (Runway/Luma), ElevenLabs automated voiceover integration, multi-platform vertical video optimization.","Teaching isolated manual rotoscoping frame-by-frame without AI assist; legacy broadcast standards.","Sound design layering, dynamic typography animation, and client revision workflows.","PROFESSIONAL","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Blackmagic Design DaVinci Resolve Studio 19/20 Reference Manual (2026); Adobe Creative Cloud Developer & Firefly Gen-3 Documentation (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
